antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str
"frozenset({'Sci-fi', 'review_bin_75-80', 'Horror'})",frozenset({'Atmospheric'}),0.001417233560090703,0.20011337868480725,0.0009763164525069287,0.6888888888888889,3.4424929178470256,1.0,0.0006927090564116804,2.571064139941691,0.7105198099127393,0.004868090452261307,0.6110559886605245,0.34688385269121813,"Horror, Sci-fi, review_bin_75-80",Atmospheric
"frozenset({'review_bin_75-80', 'Horror'})",frozenset({'Atmospheric'}),0.012314184933232553,0.20011337868480725,0.006865709246661628,0.5575447570332481,2.786144338262464,1.0,0.004401476093922914,1.8078362366141063,0.6490738657755543,0.033399724222460556,0.4468525523789154,0.2959269268326455,"Horror, review_bin_75-80",Atmospheric
"frozenset({'Exploration', 'review_bin_75-80', 'Horror'})",frozenset({'Atmospheric'}),0.002708490803728899,0.20011337868480725,0.002204585537918871,0.8139534883720929,4.067461624612951,1.0,0.001662580292047952,4.299390589569159,0.756194566502152,0.010989010989010988,0.7674088968734032,0.41248508538843864,"Exploration, Horror, review_bin_75-80",Atmospheric
"frozenset({'Exploration', 'review_bin_75-80', 'Fantasy'})",frozenset({'Atmospheric'}),0.0030234315948601664,0.20011337868480725,0.0015117157974300832,0.5,2.498583569405099,1.0,0.00090668668576022,1.5997732426303855,0.6015921152388173,0.007497656982193066,0.37491141034727143,0.2537771482530689,"Exploration, Fantasy, review_bin_75-80",Atmospheric
"frozenset({'review_bin_75-80', 'Stealth'})",frozenset({'Atmospheric'}),0.0034643487024439406,0.20011337868480725,0.0021730914588057445,0.6272727272727273,3.1345866597991248,1.0,0.0014798289350173596,2.146037276699298,0.6833460205615541,0.010789679437060202,0.5340248695316024,0.31906601425015024,"Stealth, review_bin_75-80",Atmospheric
"frozenset({'Open World', 'review_bin_75-80', 'Stealth'})",frozenset({'Atmospheric'}),0.001070798689846309,0.20011337868480725,0.0009133282942806753,0.8529411764705882,4.262289618396934,1.0,0.0006990471505642654,5.43922902494331,0.766204765704669,0.004560465481994025,0.816150414808021,0.4287526153048566,"Open World, Stealth, review_bin_75-80",Atmospheric
"frozenset({'review_bin_75-80', 'Stealth', 'FPS'})",frozenset({'Shooter'}),0.000944822373393802,0.09095490047871001,0.0008503401360544217,0.8999999999999999,9.895013850415511,1.0,0.0007644039111123299,9.090450995212892,0.899789140379267,0.00933932895191975,0.8899944567627494,0.45467451523545704,"FPS, Stealth, review_bin_75-80",Shooter
"frozenset({'review_bin_75-80', 'Stealth', 'Shooter'})",frozenset({'FPS'}),0.0011022927689594356,0.07634164777021919,0.0008503401360544217,0.7714285714285715,10.104950495049506,1.0,0.0007661892897468609,4.041005291005291,0.9020329090953677,0.011101973684210526,0.7525368248772505,0.3912835926449788,"Shooter, Stealth, review_bin_75-80",FPS
"frozenset({'review_bin_75-80', 'Stealth', 'Horror'})",frozenset({'Atmospheric'}),0.001165280927185689,0.20011337868480725,0.000944822373393802,0.8108108108108109,4.0517571395758365,1.0,0.0007116340699377089,4.227972141237449,0.7540722055809554,0.004716239584970917,0.763479993104373,0.4077661230635735,"Horror, Stealth, review_bin_75-80",Atmospheric
"frozenset({'review_bin_85-90', 'Stealth'})",frozenset({'Atmospheric'}),0.001385739480977576,0.20011337868480725,0.0011337868480725624,0.8181818181818182,4.088591295390163,1.0,0.0008564818385572085,4.399376417233561,0.756465245363946,0.005658597925180761,0.7726950583080988,0.4119237702807108,"Stealth, review_bin_85-90",Atmospheric
"frozenset({'review_bin_70-75', 'Stealth'})",frozenset({'Atmospheric'}),0.0033383723859914337,0.20011337868480725,0.0018266565885613506,0.5471698113207547,2.734299000481052,1.0,0.0011586036110925431,1.7664162887377173,0.6364000897863651,0.009059668853483287,0.43388203201262315,0.2781489597995023,"Stealth, review_bin_70-75",Atmospheric
"frozenset({'review_bin_70-75', 'Stealth', 'Horror'})",frozenset({'Atmospheric'}),0.0015747039556563366,0.20011337868480725,0.0011337868480725624,0.72,3.597960339943343,1.0,0.000818667519077842,2.856737933268545,0.7232035833701344,0.005653266331658292,0.649950389794472,0.3628328611898017,"Horror, Stealth, review_bin_70-75",Atmospheric
"frozenset({'review_bin_70-75', 'Stealth', 'Atmospheric'})",frozenset({'Horror'}),0.0018266565885613506,0.11564625850340136,0.0011337868480725624,0.6206896551724138,5.367139959432048,1.0,0.0009225408480348551,2.33147804576376,0.8151700637344608,0.009745533297238766,0.5710875331564987,0.3152467883705206,"Atmospheric, Stealth, review_bin_70-75",Horror
"frozenset({'review_bin_70-75', 'Stealth', 'Horror'})",frozenset({'Survival Horror'}),0.0015747039556563366,0.039052658100277145,0.0009763164525069287,0.62,15.876000000000001,1.0,0.0009148200773175278,2.5288087944729547,0.9384896851933632,0.024622716441620333,0.6045568956476141,0.3225,"Horror, Stealth, review_bin_70-75",Survival Horror
"frozenset({'review_bin_70-75', 'Stealth', 'Survival Horror'})",frozenset({'Horror'}),0.001070798689846309,0.11564625850340136,0.0009763164525069287,0.9117647058823529,7.884083044982699,1.0,0.0008524825904158589,10.02267573696145,0.8740981512481972,0.008435374149659863,0.9002262443438914,0.46010348583877997,"Stealth, Survival Horror, review_bin_70-75",Horror
"frozenset({'Stealth', 'review_bin_50-55'})",frozenset({'Atmospheric'}),0.0022675736961451248,0.20011337868480725,0.0011337868480725624,0.5,2.498583569405099,1.0,0.000680015014320165,1.5997732426303855,0.6011363636363638,0.005633802816901408,0.37491141034727143,0.2528328611898017,"Stealth, review_bin_50-55",Atmospheric
